years_experience,company_size,role_score,activity_score,responded
3,29,1,3,1
4,67,4,1,1
9,33,6,5,1
5,3,3,3,0
5,29,2,5,1
1,3,8,10,1
4,53,1,1,1
1,16,8,3,0
6,46,9,2,1
6,24,7,10,1
5,6,8,2,1
6,44,4,7,0
0,5,2,3,0
8,8,7,8,1
5,47,10,2,1
5,58,3,7,1
3,8,7,4,0
3,15,8,2,1
2,2,8,4,1
4,8,8,8,1
3,23,5,3,1
3,11,10,9,1
3,83,1,8,0
11,10,9,9,1
2,10,2,10,0
6,149,2,8,1
5,49,3,8,0
8,22,1,6,1
5,15,9,5,0
9,38,7,5,0
2,29,7,2,1
5,21,1,8,1
0,14,7,10,1
3,60,5,6,1
6,58,6,1,0
8,4,2,2,0
2,10,1,6,1
3,41,7,10,0
1,73,4,2,1
3,14,3,1,1
5,3,10,6,1
1,85,8,9,0
6,31,3,5,0
9,90,4,4,1
5,5,2,8,1
10,13,2,6,0
1,7,1,9,1
4,13,4,1,0
5,8,1,4,1
6,7,2,10,1
7,122,8,8,0
3,59,7,4,0
8,11,10,2,1
3,12,3,10,0
0,16,3,2,0
1,66,8,9,1
4,13,1,7,1
6,38,8,4,0
7,448,3,9,1
4,119,2,2,1
8,8,3,2,1
3,29,8,4,1
4,34,8,7,1
1,27,9,9,1
4,111,4,7,1
5,5,10,9,1
3,8,4,9,0
6,2,1,1,1
10,97,4,2,0
4,12,10,1,0
1,21,10,4,0
5,31,9,7,1
0,8,4,2,0
5,10,6,5,1
4,24,1,8,0
5,42,5,5,1
7,4,1,9,0
3,24,9,4,0
7,49,9,7,1
4,22,6,7,0
0,7,1,1,0
5,15,8,10,1
9,3,4,7,0
4,29,3,4,1
6,3,4,3,0
5,12,2,1,1
5,11,8,1,0
9,18,1,8,1
5,25,9,10,1
0,115,10,8,1
9,58,4,7,0
5,9,1,7,0
5,14,1,6,1
8,101,10,9,1
0,8,6,7,0
6,66,6,10,1
5,62,9,8,1
8,4,1,2,0
5,37,3,6,1
0,16,2,7,0
1,2,6,10,0
6,7,9,7,1
5,9,8,4,1
2,15,3,8,0
7,15,8,7,0
5,236,4,2,0
1,5,1,3,0
11,6,7,6,0
7,13,1,10,1
9,59,10,6,0
3,13,4,2,1
4,24,6,1,0
7,10,3,3,1
3,7,8,5,0
6,3,4,2,0
5,15,7,3,1
0,18,2,8,1
1,15,5,9,1
7,51,4,7,1
2,9,4,4,0
7,17,3,7,1
1,18,6,5,1
4,11,7,5,1
4,35,3,1,1
11,19,4,2,1
4,111,9,4,0
8,31,2,1,0
11,10,2,8,1
7,20,3,5,0
11,23,8,9,0
8,1,4,4,0
1,34,10,5,1
5,9,1,8,0
0,90,2,3,1
2,31,2,10,0
9,121,2,10,1
4,7,10,9,1
5,17,3,1,1
7,16,5,8,0
1,25,6,6,0
3,20,8,6,1
5,270,6,3,1
5,24,8,1,0
3,36,3,10,0
8,30,2,9,1
9,277,10,10,1
5,45,4,3,0
5,1,10,4,0
1,12,6,5,1
3,13,4,1,1
12,22,7,4,1
9,52,2,3,1
3,61,6,5,0
0,44,4,7,1
7,43,6,1,1
8,35,6,7,1
9,4,1,6,1
0,23,5,3,1
0,13,1,5,1
1,19,4,7,0
2,14,8,10,1
2,8,8,10,1
2,11,4,2,1
5,6,1,7,0
4,6,7,5,1
0,11,9,5,1
6,32,9,9,1
3,102,9,7,0
10,12,9,7,0
2,21,6,2,1
4,31,2,3,0
2,21,8,6,1
9,10,7,5,1
8,9,6,8,1
2,97,1,2,0
7,18,1,10,0
4,13,3,5,0
5,4,8,9,0
8,43,8,2,1
7,38,7,3,1
4,255,7,8,0
2,30,4,6,1
3,19,5,5,0
6,9,3,1,1
1,5,6,2,0
5,41,9,5,0
3,3,8,10,1
3,13,9,3,0
4,4,5,3,1
3,27,3,8,0
1,47,6,5,1
8,5,4,1,0
7,30,7,2,1
8,17,8,3,1
3,19,10,6,1
3,42,3,3,1
6,48,3,4,1
6,126,8,1,1
4,7,9,4,1
1,5,8,7,1
5,3,2,5,1
2,25,9,9,0
6,38,8,6,1
6,79,10,4,0
1,103,4,7,1
4,8,3,6,1
2,49,2,1,0
7,24,3,10,1
4,8,6,1,1
4,9,5,5,1
13,17,5,1,0
4,9,7,7,0
8,9,3,8,0
7,92,1,10,0
3,15,4,2,0
8,181,1,1,1
2,119,10,2,1
5,256,3,6,0
1,72,8,2,1
0,10,1,7,1
5,2,7,8,0
6,46,2,4,1
7,15,2,3,1
9,31,7,8,1
4,81,5,7,1
4,43,4,3,0
4,11,1,1,1
0,71,4,8,0
5,19,8,8,1
4,30,6,10,1
2,6,10,5,0
7,14,4,2,0
0,6,1,2,0
6,12,3,10,1
7,153,5,7,1
5,6,3,2,1
4,26,9,8,1
3,5,5,1,0
5,106,6,6,1
3,26,1,8,0
3,17,4,6,0
0,8,1,8,0
1,78,5,2,0
9,109,7,3,0
4,64,8,3,1
7,44,6,6,1
8,7,2,9,1
7,33,7,7,0
3,24,3,2,0
9,10,4,6,0
0,112,3,6,1
5,8,10,6,1
2,48,8,7,0
4,2,1,1,1
5,78,6,1,1
4,59,4,8,1
7,4,5,8,1
1,23,7,8,1
0,28,9,1,1
5,19,10,2,1
1,45,9,1,1
8,24,4,4,0
1,9,7,10,1
2,30,5,5,1
5,29,9,9,1
6,66,10,1,1
4,4,2,3,0
8,14,2,9,0
11,39,2,9,1
8,45,6,5,1
10,54,6,10,1
5,10,5,6,1
2,43,6,4,1
6,19,10,6,1
9,12,6,5,1
0,5,5,6,1
2,8,9,5,0
7,39,8,6,1
5,9,10,4,0
5,25,6,9,0
2,6,5,8,0
9,7,1,1,0
6,9,2,10,1
1,17,2,6,1
5,11,6,6,0
1,24,3,6,1
4,31,6,9,1
0,31,9,2,0
5,30,7,8,1
10,16,1,7,1
6,31,10,5,1
7,12,8,6,1
4,9,9,6,1
0,4,5,3,0
2,69,2,4,1
6,38,5,10,1
7,32,5,3,1
4,23,7,7,1
3,4,8,9,1
3,21,9,4,1
3,10,4,3,1
3,19,4,7,1
6,226,6,6,1
1,6,3,3,0
2,88,10,2,0
3,41,3,9,0
4,86,1,7,1
2,33,9,1,1
0,53,6,1,0
0,23,9,8,1
3,15,10,7,0
4,18,9,9,0
1,31,7,1,1
8,1,4,2,0
4,21,6,9,1
0,77,5,6,0
4,57,2,8,0
2,20,8,7,0
5,21,5,5,1
0,61,9,5,0
0,13,7,4,0
7,47,7,7,1
3,7,10,9,0
5,9,1,2,0
3,3,7,3,1
0,17,8,10,1
6,17,4,3,0
1,46,2,6,0
8,6,2,4,0
4,26,6,4,1
8,20,1,9,1
4,33,10,6,1
4,27,4,9,1
10,34,2,4,0
1,18,5,2,0
10,14,10,1,0
5,30,3,4,0
0,24,10,6,1
7,16,9,6,0
7,13,1,6,0
9,57,8,4,1
6,12,2,2,0
5,29,7,6,1
2,8,3,6,1
7,34,7,3,0
2,27,5,1,0
2,2,10,4,0
3,35,7,5,1
0,15,3,3,0
9,22,7,1,1
0,1,4,7,1
6,30,5,6,1
7,7,10,3,1
2,15,4,2,1
6,17,3,6,1
5,31,9,1,0
0,8,2,2,0
5,50,1,5,1
2,7,5,10,0
5,4,5,1,1
2,86,9,6,0
8,22,9,6,1
8,15,3,3,0
4,55,5,9,1
7,10,2,6,1
1,10,6,8,1
3,49,2,1,0
2,25,8,9,1
10,2,10,4,1
8,92,7,9,1
0,38,5,10,0
10,60,10,10,1
3,5,2,10,1
2,91,10,7,1
6,6,6,3,0
1,8,5,10,0
1,17,7,6,0
7,45,1,8,1
0,5,8,8,1
6,27,1,6,1
1,23,5,3,0
1,61,7,10,0
8,102,3,2,0
0,11,3,7,1
0,61,4,6,0
4,10,2,7,1
6,23,6,10,1
7,36,1,8,0
10,14,4,2,0
9,47,8,6,0
5,65,2,4,1
3,25,6,4,1
3,50,7,8,1
2,54,9,3,0
3,102,5,4,1
0,5,1,10,1
4,16,6,8,1
4,15,3,5,0
3,6,8,10,1
9,6,4,5,1
9,91,8,3,1
5,18,1,7,0
5,8,6,9,1
8,39,10,7,1
7,110,6,3,0
5,15,7,7,1
4,26,9,10,0
6,18,8,9,1
7,16,3,3,1
3,46,6,8,0
7,14,5,4,0
2,10,10,4,1
2,27,4,4,0
4,6,1,8,1
4,7,10,7,1
7,54,7,2,0
9,16,2,5,0
5,13,3,4,0
11,27,1,9,1
4,26,3,2,0
1,22,8,8,0
7,95,10,3,0
6,42,5,8,0
3,17,5,3,1
5,16,3,2,0
4,24,1,6,0
8,8,4,10,1
6,140,4,7,1
4,13,1,10,1
3,6,4,6,1
1,19,2,3,1
11,13,10,4,0
9,35,1,3,1
2,115,2,7,0
6,8,3,10,1
5,25,5,1,1
2,30,9,5,0
0,5,7,4,0
5,133,8,2,0
7,9,10,5,0
4,91,3,7,1
0,35,6,10,1
7,4,5,1,1
0,56,5,1,0
6,6,6,1,1
5,46,8,6,1
7,11,7,9,1
4,30,6,6,1
9,9,3,3,1
7,2,10,8,0
0,18,4,6,0
3,24,4,8,1
4,6,2,3,1
10,20,9,7,0
4,25,9,3,1
4,18,5,7,1
6,23,10,4,0
0,20,8,10,1
5,16,3,10,1
9,10,5,6,1
8,88,10,3,0
4,5,2,1,0
3,16,4,7,1
4,14,9,10,1
4,57,2,10,1
6,14,9,10,0
4,10,10,4,0
0,28,8,7,1
1,16,1,1,0
4,8,5,7,1
2,1,3,4,0
0,26,5,5,1
6,8,6,2,1
4,13,7,2,1
1,7,3,6,1
7,33,9,4,1
11,19,7,4,0
6,61,9,5,1
7,5,2,2,1
8,24,7,5,1
3,24,2,1,1
6,9,2,10,1
6,49,2,1,0
0,124,6,9,0
3,64,6,10,1
1,36,9,4,0
6,28,8,9,1
1,135,4,8,0
4,70,5,4,0
2,20,5,2,1
4,22,4,6,1
6,27,9,1,0
8,46,5,4,1
4,7,6,1,1
10,9,4,7,0
3,26,1,5,1
9,20,8,4,1
2,20,9,6,1
0,9,3,4,0
3,55,1,1,1
4,7,3,5,0
8,58,9,7,0
8,6,9,6,1
9,19,3,8,1
2,8,3,7,0
2,19,10,10,1
4,50,1,3,1
9,35,8,7,1
11,33,3,5,1
5,23,9,6,0
5,7,9,7,0
7,3,9,10,1
9,7,4,8,0
2,184,10,6,0
1,14,10,10,1
2,21,4,1,0
2,8,10,4,1
7,25,3,8,1
3,22,9,2,1
5,55,4,5,0
9,19,4,2,1
6,7,10,10,1
0,24,1,10,0
3,46,5,2,0
9,46,6,5,0
3,32,4,2,0
0,1,5,7,1
4,22,3,7,0
4,33,5,10,1
9,4,3,3,0
7,56,3,3,1
4,24,4,3,0
10,34,9,7,1
11,36,1,10,1
4,3,9,7,0
5,22,2,2,0
6,63,9,8,0
3,21,9,2,1
5,5,4,6,0
6,5,2,2,0
8,66,6,8,1
5,18,7,8,0
8,111,3,4,1
5,13,2,3,0
3,10,3,8,1
3,6,7,7,1
5,42,7,7,1
3,41,7,2,1
4,11,5,10,1
4,6,4,5,1
6,46,6,6,1
6,22,7,5,0
4,2,3,1,1
7,24,2,3,1
8,8,1,2,1
3,71,9,6,0
5,35,10,9,1
2,4,9,4,0
8,201,2,2,1
3,14,3,9,1
0,150,7,7,0
6,24,10,3,1
2,137,7,6,1
3,12,4,5,1
0,36,8,9,1
6,26,7,1,1
9,23,6,8,0
5,9,3,10,0
5,9,6,8,1
3,48,7,1,0
7,13,6,3,0
8,5,8,3,0
6,30,8,8,0
9,76,8,7,0
10,6,10,5,0
9,3,1,3,0
0,9,2,2,0
3,16,2,4,0
1,21,4,1,0
1,22,2,6,1
4,10,6,2,1
7,110,4,5,0
3,30,1,10,1
5,34,6,1,0
5,12,8,9,1
2,33,6,1,1
5,20,2,1,1
4,12,2,6,0
0,62,7,6,1
4,90,3,7,0
4,25,1,4,0
5,3,9,10,1
3,6,8,7,1
0,32,3,6,0
10,71,10,1,1
7,31,8,6,1
7,111,6,8,1
3,20,7,7,1
2,5,7,3,0
4,5,6,6,1
8,8,2,6,1
3,17,7,9,0
10,217,10,3,0
3,14,9,9,1
6,5,6,7,0
6,50,5,1,0
4,41,9,1,1
0,2,4,2,1
7,13,5,5,1
3,15,5,9,1
4,32,5,2,1
6,8,5,2,0
7,12,5,2,1
5,16,8,8,1
5,4,7,3,1
10,17,1,2,0
6,3,1,8,1
8,16,3,8,0
7,14,1,9,1
3,139,7,6,0
6,4,7,1,0
0,18,4,4,1
0,128,8,2,0
0,30,8,2,1
4,7,2,4,0
4,41,8,2,1
8,20,4,6,1
6,59,5,3,0
0,31,5,7,0
4,5,10,5,0
10,11,5,8,1
8,24,8,3,0
2,74,1,1,1
4,79,7,4,0
2,24,3,2,0
2,35,3,9,1
12,25,10,5,0
10,9,6,2,1
0,2,6,6,1
0,14,7,10,1
3,65,5,8,1
3,3,1,2,0
6,97,10,10,1
3,75,8,7,1
4,11,3,3,0
0,43,8,8,1
2,99,4,10,0
1,1,7,6,1
4,5,6,3,1
5,63,10,2,1
0,31,8,7,1
3,83,5,5,1
2,48,8,7,0
1,57,4,5,0
3,3,1,7,1
4,13,4,8,1
5,74,1,9,1
4,42,8,3,0
9,8,8,9,0
6,45,5,3,0
3,7,2,4,1
7,29,3,9,1
2,6,10,4,1
1,18,10,1,0
4,108,6,4,0
5,1,2,1,1
8,23,3,2,0
0,12,9,4,1
5,44,2,9,0
2,16,5,8,1
6,11,5,1,1
3,44,2,4,1
2,11,4,2,1
4,16,9,7,0
7,26,7,5,0
7,17,3,4,0
5,80,4,10,1
7,20,7,10,1
4,53,5,8,1
5,17,3,1,0
5,32,7,4,1
4,11,7,7,1
3,33,3,3,0
10,69,4,9,0
3,146,4,8,1
12,19,9,4,1
6,72,3,7,1
2,2,8,3,0
7,9,1,10,1
0,36,2,7,1
6,24,4,2,1
6,4,9,8,0
1,18,2,6,1
4,13,7,4,0
5,21,2,10,1
8,36,7,9,1
9,12,6,10,1
9,8,6,2,0
2,9,1,7,1
2,51,3,5,0
5,16,4,9,1
2,78,8,9,0
6,81,8,1,1
0,8,10,6,1
3,109,4,7,0
7,6,8,10,1
3,16,5,10,1
5,52,10,4,1
5,2,9,4,1
4,3,7,7,0
5,36,9,1,0
10,53,6,2,0
5,17,10,10,1
5,8,2,2,0
11,48,4,8,0
7,4,10,7,1
3,23,10,3,0
7,5,3,7,1
4,59,5,7,0
6,58,1,3,1
5,33,3,2,0
3,127,5,9,0
0,5,6,5,1
4,25,10,5,0
1,7,8,5,1
4,22,5,3,0
0,54,10,6,0
3,33,5,7,1
8,8,10,10,1
3,12,6,5,0
3,71,1,9,1
0,38,10,3,0
3,39,10,4,1
1,60,9,5,1
5,5,6,10,0
7,53,7,2,0
7,24,4,9,1
2,34,6,10,0
4,39,3,6,0
0,50,1,10,1
0,7,7,7,1
4,29,10,1,0
2,38,1,8,1
3,56,7,9,1
13,5,4,5,1
3,58,9,2,0
6,5,6,10,1
5,51,9,1,0
2,6,4,2,0
5,21,4,7,1
5,37,4,4,0
3,7,6,8,1
8,8,7,3,1
2,25,10,2,0
2,16,2,5,1
3,8,2,3,0
2,4,4,9,0
6,8,2,2,1
0,23,9,2,0
4,10,7,3,0
5,79,10,1,0
10,4,7,2,1
4,9,8,2,1
4,56,8,3,1
11,19,9,1,1
2,43,7,7,1
6,60,10,5,1
6,46,7,1,0
4,2,6,2,1
4,80,8,2,1
12,3,6,6,1
7,19,6,3,1
2,8,5,7,1
4,6,2,3,0
4,75,3,3,0
6,19,2,9,0
2,87,7,10,1
2,7,10,9,1
5,14,3,10,0
3,22,3,6,0
0,13,10,6,1
8,60,10,4,1
3,32,5,9,0
5,5,2,8,1
4,3,8,9,1
5,11,10,5,0
6,28,10,6,1
5,75,5,3,0
6,9,6,7,1
6,32,5,4,1
5,23,2,4,1
6,13,9,8,1
5,65,4,1,1
7,7,8,2,1
5,33,7,5,1
9,20,1,7,1
5,59,7,8,1
8,19,7,8,1
2,4,3,8,1
2,14,10,8,1
5,3,7,3,1
0,42,1,5,1
6,15,4,9,1
9,13,1,7,0
5,27,10,8,1
2,8,8,4,1
4,50,3,8,1
3,23,5,3,0
3,91,3,5,1
4,25,2,4,0
2,64,8,2,1
5,29,7,2,0
3,33,3,5,0
11,21,9,5,0
11,4,3,5,0
3,3,1,1,0
8,5,2,2,0
3,1155,1,6,0
3,54,2,8,0
2,32,1,2,0
6,9,2,6,1
0,16,8,8,1
4,67,1,2,0
0,4,9,5,1
7,8,5,2,0
4,11,9,7,1
4,27,3,8,0
5,8,10,9,1
9,38,9,3,0
2,6,10,4,0
7,12,10,3,0
5,68,6,6,0
3,36,2,1,1
9,99,6,8,1
9,7,5,1,0
4,33,8,7,1
4,10,8,2,1
4,85,3,1,0
1,59,1,4,0
1,5,1,5,0
4,7,4,9,1
10,10,9,3,1
6,18,4,7,1
9,12,8,3,0
8,9,6,8,1
3,20,7,7,0
11,12,8,1,1
0,41,8,1,1
